loja,club,marca_1,marca_2,marca_3,regiao,canal,localizacao,numero_empregados,aporte_inicial,modelo_arquitetonico,tem_estoque_proprio,usa_despachante,legado_familia,sistema_1,sistema_2,sistema_3,sistemas_4,sistema_5,sistema_6,faturamento_ultimo_ano,maturidade_processo
52,DIAMANTE,S,S,S,5,LJ,RUA_FAMOSA,28,856945,1,S,S,S,N,S,S,S,S,S,B,ALTA
53,OURO,S,S,N,,BO,RURAL,7,757694,3,S,N,S,S,N,N,S,N,S,D,ALTA
54,OURO,S,N,N,6,VD,SHOPPING,14,636506,2,N,N,S,S,N,S,N,S,S,D,MÉDIA
55,PRATA,N,N,S,1,LJ,RUA_FAMOSA,7,952058,4,S,N,N,N,N,N,S,N,N,A,MÉDIA
56,PRATA,N,N,S,2,VD,RUA_FAMOSA,9,843579,4,S,N,N,N,N,S,N,N,N,D,INEXISTENTE
57,DIAMANTE,S,S,N,5,BO,BAIRRO,8,568548,1,S,N,S,S,S,N,N,S,S,A,ALTA
58,PRATA,N,N,S,6,VD,CENTRO,4,771147,3,S,S,N,S,N,N,S,N,N,D,BAIXA
59,BRONZE,S,N,S,5,LJ,BAIRRO,22,161376,4,S,S,N,S,S,N,N,N,N,D,INEXISTENTE
60,BRONZE,S,S,N,4,LJ,RUA_FAMOSA,25,295815,4,N,N,N,N,N,N,S,N,N,A,MÉDIA
61,BRONZE,N,N,N,2,VD,CENTRO,17,227409,4,N,N,S,S,S,N,S,N,N,B,BAIXA
62,DIAMANTE,S,S,N,2,LJ,SHOPPING,13,712981,1,S,N,S,N,S,S,S,N,S,A,MÉDIA
63,BRONZE,S,N,N,5,VD,RUA_FAMOSA,24,286786,4,N,N,N,N,S,S,S,S,N,C,BAIXA
64,BRONZE,S,N,S,3,VD,BAIRRO,21,275019,4,S,N,S,S,S,S,N,N,N,C,ALTA
65,PRATA,S,S,S,,VD,SHOPPING,9,714560,3,S,S,N,N,S,N,S,N,N,D,ALTA
66,PRATA,S,S,S,6,VD,CENTRO,6,984983,4,S,S,N,N,S,N,N,N,N,C,INEXISTENTE
67,DIAMANTE,S,S,S,2,BO,BAIRRO,15,578487,1,S,S,S,S,S,S,N,S,N,B,ALTA
68,PRATA,S,S,S,3,VD,CENTRO,4,790672,3,S,S,N,N,N,N,S,N,N,D,BAIXA
69,PRATA,N,S,S,6,VD,RUA_FAMOSA,5,936091,4,S,S,N,N,N,S,N,N,N,D,INEXISTENTE
70,PRATA,S,N,S,6,LJ,RUA_FAMOSA,4,874684,4,S,N,N,S,S,N,N,S,N,D,INEXISTENTE
71,PRATA,N,S,N,1,VD,RUA_FAMOSA,9,747453,4,N,N,N,S,S,S,N,S,N,D,ALTA
72,DIAMANTE,S,S,S,,VD,SHOPPING,17,937066,1,S,N,S,N,S,N,N,S,N,C,MÉDIA
73,OURO,S,N,N,5,LJ,RUA_FAMOSA,11,583291,4,N,S,N,S,S,S,S,S,N,D,INEXISTENTE
74,BRONZE,S,S,S,5,LJ,SHOPPING,14,112316,4,N,N,S,S,N,S,N,N,N,C,INEXISTENTE
75,BRONZE,N,S,S,,LJ,CENTRO,20,126896,4,S,S,N,S,S,N,S,N,N,D,MÉDIA
76,DIAMANTE,S,S,N,,VD,SHOPPING,15,685323,1,S,S,S,S,S,S,N,N,S,A,ALTA
77,PRATA,N,N,N,2,LJ,SHOPPING,6,402562,4,S,S,N,N,S,N,N,S,N,D,ALTA
78,OURO,S,S,S,2,LJ,BAIRRO,12,724323,4,N,N,N,S,S,N,S,N,S,B,INEXISTENTE
79,BRONZE,N,N,S,1,LJ,RUA_FAMOSA,22,152325,4,N,S,N,S,N,N,N,S,N,C,MÉDIA
80,PRATA,S,S,S,2,BO,BAIRRO,9,885969,3,S,S,N,N,N,S,S,N,N,C,INEXISTENTE
81,PRATA,S,S,N,2,BO,BAIRRO,4,982127,3,N,S,N,N,S,N,N,N,N,C,INEXISTENTE
82,PRATA,S,S,N,3,LJ,BAIRRO,9,563024,3,S,N,N,N,S,S,N,S,N,D,INEXISTENTE
83,PRATA,N,S,S,,BO,SHOPPING,7,805719,3,N,S,N,N,S,S,S,N,N,D,BAIXA
84,BRONZE,N,N,N,2,BO,RURAL,14,158382,4,N,N,S,S,S,S,S,S,N,A,ALTA
85,BRONZE,N,N,S,2,BO,RUA_FAMOSA,19,287251,4,S,S,N,N,N,N,S,S,N,D,BAIXA
86,PRATA,S,S,N,3,VD,SHOPPING,5,773507,4,N,S,N,N,S,S,N,N,N,A,INEXISTENTE
87,PRATA,N,S,S,1,LJ,RUA_FAMOSA,7,398696,4,S,N,N,S,S,N,N,S,N,B,MÉDIA
88,OURO,S,N,N,2,VD,RUA_FAMOSA,10,688899,3,S,N,S,S,S,S,N,S,S,D,BAIXA
89,OURO,S,N,S,3,LJ,BAIRRO,7,584472,2,N,N,N,S,S,N,N,S,S,A,BAIXA
90,DIAMANTE,S,S,N,6,BO,RUA_FAMOSA,13,685324,1,S,N,S,S,S,N,N,N,N,A,BAIXA
91,DIAMANTE,S,S,S,1,LJ,BAIRRO,14,722677,1,S,S,S,S,S,S,N,N,N,A,ALTA
92,PRATA,S,S,N,2,BO,BAIRRO,9,973734,4,N,S,N,N,S,N,S,S,N,C,BAIXA
93,BRONZE,N,N,S,2,BO,RUA_FAMOSA,22,128927,4,N,N,N,N,S,N,S,S,N,D,MÉDIA
94,OURO,S,N,N,1,BO,RUA_FAMOSA,16,658755,2,S,S,S,S,S,S,N,S,S,A,MÉDIA
95,OURO,S,S,N,1,LJ,BAIRRO,7,966023,3,N,N,S,S,S,S,S,S,S,C,ALTA
96,DIAMANTE,S,S,N,6,BO,CENTRO,19,566218,1,S,S,S,N,S,N,N,N,S,B,ALTA
97,BRONZE,S,N,N,2,BO,BAIRRO,16,232628,4,N,S,S,N,N,N,S,N,N,D,MÉDIA
98,DIAMANTE,S,S,S,1,VD,SHOPPING,12,954320,1,N,S,S,N,S,N,N,N,S,C,ALTA
99,OURO,S,N,S,1,BO,CENTRO,8,697493,2,N,S,N,S,S,S,N,S,N,C,INEXISTENTE
100,BRONZE,S,S,N,3,VD,CENTRO,21,271257,4,S,S,N,N,N,N,N,S,N,B,BAIXA
101,DIAMANTE,S,S,N,5,LJ,RUA_FAMOSA,24,829654,1,N,S,S,S,S,S,S,N,N,A,MÉDIA
102,BRONZE,S,S,N,2,VD,RUA_FAMOSA,13,260299,4,S,S,S,S,S,S,S,N,N,C,INEXISTENTE
103,OURO,S,S,N,6,BO,RUA_FAMOSA,13,963388,3,S,N,S,S,S,N,N,S,N,B,BAIXA
104,OURO,S,N,S,3,BO,BAIRRO,16,660330,3,S,N,N,S,N,S,S,N,S,B,BAIXA
105,DIAMANTE,S,S,S,5,VD,RUA_FAMOSA,30,735010,1,N,S,S,N,S,S,N,S,S,B,BAIXA
106,BRONZE,N,S,S,2,VD,RURAL,22,218382,4,S,N,S,N,S,N,N,N,N,A,BAIXA
107,DIAMANTE,S,S,S,1,LJ,RURAL,28,907011,1,N,S,S,S,S,S,S,S,S,A,ALTA
108,PRATA,N,N,N,3,VD,RUA_FAMOSA,7,596811,4,N,N,N,S,S,N,S,N,N,D,INEXISTENTE
109,DIAMANTE,S,S,N,2,VD,SHOPPING,24,878905,1,S,S,S,S,S,S,S,S,S,B,ALTA
110,BRONZE,N,N,S,1,LJ,RUA_FAMOSA,12,242218,4,N,S,N,S,N,S,N,S,N,C,MÉDIA
111,OURO,S,N,S,2,VD,RUA_FAMOSA,7,743176,2,N,N,N,S,N,N,N,S,S,C,ALTA
112,DIAMANTE,S,S,S,4,VD,RUA_FAMOSA,30,653486,1,S,S,S,N,S,N,S,N,N,A,ALTA
113,BRONZE,N,S,N,2,BO,RURAL,25,223920,4,N,S,S,S,N,S,S,S,N,D,BAIXA
114,PRATA,S,S,N,3,LJ,RUA_FAMOSA,6,418621,4,N,N,N,S,S,S,N,S,N,C,INEXISTENTE
115,BRONZE,N,N,S,4,VD,CENTRO,24,271719,4,N,N,S,N,S,S,S,N,N,B,BAIXA
116,DIAMANTE,S,S,S,1,BO,CENTRO,23,869322,1,S,N,S,S,S,N,S,S,S,A,MÉDIA
117,OURO,S,S,S,3,VD,BAIRRO,9,356887,2,S,N,S,S,S,N,N,N,N,C,BAIXA
118,BRONZE,N,S,S,1,VD,CENTRO,24,281141,4,N,N,N,S,N,N,S,S,N,C,INEXISTENTE
119,BRONZE,N,S,S,2,VD,BAIRRO,16,146689,4,S,S,N,N,N,S,S,S,N,B,MÉDIA
120,DIAMANTE,S,S,S,3,LJ,SHOPPING,14,700066,1,S,N,S,S,S,N,N,S,S,B,ALTA
121,PRATA,S,N,S,2,LJ,BAIRRO,9,588740,4,S,N,N,N,S,N,N,N,N,B,INEXISTENTE
122,BRONZE,N,N,S,5,BO,CENTRO,15,269482,4,N,S,S,N,N,S,N,S,N,D,BAIXA
123,PRATA,N,N,N,1,VD,CENTRO,7,802431,3,N,S,N,S,S,S,S,S,N,C,BAIXA
124,OURO,S,N,N,1,BO,CENTRO,12,920061,4,S,S,N,S,S,S,S,S,S,B,ALTA
125,OURO,S,N,S,1,LJ,RUA_FAMOSA,13,722222,3,N,N,S,S,N,N,N,S,N,C,MÉDIA
126,OURO,S,N,N,5,BO,CENTRO,11,995673,4,N,S,N,S,S,N,N,N,N,A,MÉDIA
127,OURO,S,N,N,3,LJ,BAIRRO,11,388650,3,N,S,S,S,N,N,N,S,N,D,ALTA
128,BRONZE,N,S,N,2,LJ,CENTRO,12,294449,4,N,N,N,S,N,N,N,S,N,C,BAIXA
129,OURO,S,N,S,3,VD,CENTRO,11,524067,2,N,N,N,S,N,N,N,S,S,A,INEXISTENTE
130,DIAMANTE,S,S,N,6,LJ,RUA_FAMOSA,15,807976,1,S,N,S,S,S,N,S,S,N,A,MÉDIA
131,BRONZE,N,S,S,5,VD,BAIRRO,18,111831,4,S,N,S,S,N,N,N,N,N,B,INEXISTENTE
132,DIAMANTE,S,S,N,5,VD,RUA_FAMOSA,17,516169,1,S,S,S,N,S,S,S,N,N,A,ALTA
133,PRATA,S,S,S,2,BO,RUA_FAMOSA,5,590063,4,S,N,N,N,N,S,N,N,N,D,INEXISTENTE
134,OURO,S,N,N,3,LJ,SHOPPING,9,811428,4,S,N,N,S,S,S,S,S,S,B,INEXISTENTE
135,PRATA,S,N,N,2,VD,RUA_FAMOSA,9,427387,3,S,N,N,N,N,N,S,N,N,D,ALTA
136,DIAMANTE,S,S,S,3,BO,SHOPPING,12,849116,1,S,S,S,N,S,S,N,N,S,A,ALTA
137,PRATA,S,N,S,2,VD,CENTRO,9,925251,3,N,N,N,N,N,N,N,N,N,C,MÉDIA
138,DIAMANTE,S,S,S,4,VD,CENTRO,10,960169,1,S,S,S,N,S,S,S,S,S,A,BAIXA
139,OURO,S,S,S,1,LJ,SHOPPING,15,385238,4,S,S,S,S,N,S,N,N,S,A,ALTA
140,BRONZE,N,S,S,2,BO,CENTRO,18,248334,4,N,S,S,N,N,S,S,S,N,D,BAIXA
141,PRATA,S,N,S,2,BO,BAIRRO,7,569628,4,S,N,N,S,S,S,S,N,N,C,MÉDIA
142,PRATA,S,N,S,3,LJ,CENTRO,7,392690,3,N,N,N,S,N,S,S,N,N,C,BAIXA
143,BRONZE,S,N,S,6,BO,CENTRO,19,289292,4,S,S,S,S,S,N,N,N,N,B,MÉDIA
144,OURO,S,S,N,2,BO,RUA_FAMOSA,9,634873,3,S,S,S,S,S,S,S,N,N,B,MÉDIA
145,DIAMANTE,S,S,S,3,BO,BAIRRO,16,505187,1,N,S,S,N,S,N,N,S,S,A,BAIXA
146,DIAMANTE,S,S,N,2,LJ,RURAL,22,657577,1,S,S,S,N,S,N,S,S,N,C,ALTA
147,DIAMANTE,S,S,S,3,LJ,RURAL,22,963037,1,S,N,S,N,S,N,N,S,S,A,ALTA
148,DIAMANTE,S,S,N,6,VD,RUA_FAMOSA,11,661447,1,S,N,S,N,S,N,N,S,S,C,MÉDIA
149,DIAMANTE,S,S,N,5,VD,SHOPPING,16,529666,1,N,S,S,N,S,N,N,S,N,B,MÉDIA
150,OURO,S,S,N,2,LJ,CENTRO,13,643430,3,N,S,S,S,S,N,S,N,N,C,ALTA
151,PRATA,S,N,S,4,BO,BAIRRO,9,750564,3,N,S,N,S,S,N,S,N,N,C,INEXISTENTE
152,PRATA,N,S,S,6,VD,RUA_FAMOSA,9,753792,4,S,S,N,S,N,S,N,N,N,D,INEXISTENTE
153,OURO,S,S,S,2,BO,RUA_FAMOSA,16,776737,4,N,S,S,S,S,N,S,N,N,B,BAIXA
154,BRONZE,S,N,N,2,VD,CENTRO,15,122671,4,N,N,N,N,N,S,N,N,N,D,INEXISTENTE
155,PRATA,N,N,N,2,BO,CENTRO,9,541298,3,N,S,N,S,S,N,N,S,N,D,INEXISTENTE
156,PRATA,S,S,S,2,BO,CENTRO,7,584899,4,N,N,N,S,S,N,S,N,N,D,INEXISTENTE
157,DIAMANTE,S,S,N,6,BO,RUA_FAMOSA,17,600101,1,N,S,S,N,S,N,S,N,N,B,ALTA
158,OURO,S,S,N,1,VD,CENTRO,8,810759,3,S,N,N,S,S,S,N,N,S,B,BAIXA
159,OURO,S,S,S,1,BO,BAIRRO,13,425405,3,S,N,S,S,S,N,N,N,N,A,ALTA
160,DIAMANTE,S,S,S,5,BO,CENTRO,16,789746,1,S,N,S,N,S,S,N,N,S,A,MÉDIA
161,OURO,S,N,N,6,VD,BAIRRO,16,469824,3,S,S,N,S,S,S,S,N,N,B,ALTA
162,DIAMANTE,S,S,S,4,LJ,SHOPPING,10,517160,1,N,N,S,S,S,S,S,S,N,B,BAIXA
163,DIAMANTE,S,S,S,2,BO,BAIRRO,19,520856,1,N,N,S,S,S,S,N,S,N,A,ALTA
164,OURO,S,N,S,1,VD,RUA_FAMOSA,16,712806,3,S,N,S,S,S,S,N,S,N,A,INEXISTENTE
165,BRONZE,S,S,N,2,LJ,RURAL,12,229092,4,N,N,N,N,N,S,N,N,N,C,MÉDIA
166,BRONZE,S,S,S,6,VD,BAIRRO,15,176600,4,S,S,N,N,N,N,N,S,N,C,MÉDIA
167,BRONZE,S,N,N,1,LJ,CENTRO,21,164972,4,S,S,N,N,S,N,N,S,N,B,MÉDIA
168,PRATA,S,S,N,1,LJ,BAIRRO,7,441601,3,S,S,N,S,N,N,N,S,N,C,INEXISTENTE
169,OURO,S,N,N,1,VD,CENTRO,13,675789,4,N,N,N,S,S,N,S,S,S,D,ALTA
170,DIAMANTE,S,S,N,2,VD,SHOPPING,8,966552,1,S,N,S,N,S,S,N,N,N,A,ALTA
171,OURO,S,S,S,2,VD,BAIRRO,15,746500,2,N,N,S,S,S,S,N,N,S,C,ALTA
172,OURO,S,S,N,1,BO,CENTRO,10,993711,3,S,N,S,S,S,S,N,S,N,C,MÉDIA
173,PRATA,N,N,N,4,BO,SHOPPING,6,756689,3,S,S,N,S,S,N,N,S,N,C,ALTA
174,DIAMANTE,S,S,S,3,BO,CENTRO,22,516638,1,S,N,S,N,S,N,S,N,N,A,ALTA
175,DIAMANTE,S,S,S,2,LJ,BAIRRO,25,946061,1,S,S,S,S,S,S,N,N,N,A,ALTA
176,DIAMANTE,S,S,S,2,LJ,SHOPPING,22,987671,1,S,S,S,N,S,S,N,S,N,B,MÉDIA
177,PRATA,N,N,S,1,LJ,RUA_FAMOSA,6,696210,4,S,N,N,S,S,N,S,N,N,D,MÉDIA
178,OURO,S,S,N,5,VD,RUA_FAMOSA,9,943031,2,S,N,N,S,S,S,N,N,S,A,MÉDIA
179,BRONZE,N,N,S,5,LJ,BAIRRO,18,168862,4,N,S,S,N,S,S,S,S,N,B,MÉDIA
180,BRONZE,S,S,N,2,LJ,BAIRRO,23,122545,4,S,N,S,N,N,S,N,S,N,C,BAIXA
181,BRONZE,S,S,N,4,LJ,CENTRO,16,244839,4,S,S,S,N,N,N,N,S,N,B,MÉDIA
182,BRONZE,S,N,S,2,LJ,BAIRRO,21,136000,4,N,S,N,N,N,N,S,S,N,C,ALTA
183,BRONZE,S,N,S,2,LJ,BAIRRO,14,177154,4,N,S,N,S,S,S,N,N,N,B,BAIXA
184,OURO,S,S,S,3,BO,CENTRO,7,355486,4,N,N,S,S,S,N,S,N,N,A,ALTA
185,PRATA,S,N,N,5,BO,BAIRRO,4,618232,4,S,S,N,N,S,S,N,S,N,C,MÉDIA
186,OURO,S,N,S,6,BO,CENTRO,14,824941,4,N,N,S,S,N,N,N,N,S,B,BAIXA
187,PRATA,S,N,N,2,LJ,RUA_FAMOSA,7,470295,3,S,N,N,S,S,S,N,S,N,C,INEXISTENTE
188,PRATA,S,S,S,1,VD,RUA_FAMOSA,9,715876,4,S,N,N,S,S,S,N,N,N,D,BAIXA
189,PRATA,N,N,N,5,LJ,BAIRRO,4,505914,4,S,S,N,S,S,N,S,N,N,D,BAIXA
190,BRONZE,N,S,S,2,BO,CENTRO,22,175022,4,S,N,S,N,S,N,N,S,N,B,BAIXA
191,DIAMANTE,S,S,N,2,BO,RUA_FAMOSA,20,704055,1,S,S,S,S,S,S,N,S,N,C,MÉDIA
192,DIAMANTE,S,S,N,3,VD,BAIRRO,10,798285,1,S,S,S,N,S,S,S,N,N,C,ALTA
193,BRONZE,S,S,N,,VD,CENTRO,21,236056,4,N,S,S,N,S,N,N,S,N,D,BAIXA
194,DIAMANTE,S,S,S,2,VD,RUA_FAMOSA,11,796568,1,N,N,S,N,S,N,N,N,N,C,ALTA
195,OURO,S,S,N,1,VD,SHOPPING,9,592480,3,N,N,S,S,S,N,S,N,N,D,MÉDIA
196,DIAMANTE,S,S,N,1,VD,CENTRO,23,826387,1,N,S,S,S,S,S,S,S,N,A,MÉDIA
197,OURO,S,N,N,2,BO,BAIRRO,13,486843,3,S,N,S,S,N,S,N,S,N,D,MÉDIA
198,PRATA,N,S,S,3,LJ,BAIRRO,7,720687,3,N,N,N,S,S,S,S,S,N,C,INEXISTENTE
199,BRONZE,S,N,N,2,VD,CENTRO,15,213661,4,N,S,S,S,S,S,N,S,N,A,BAIXA
200,DIAMANTE,S,S,S,3,BO,SHOPPING,10,916637,1,S,N,S,S,S,S,N,S,N,B,MÉDIA
201,OURO,S,N,S,2,LJ,RURAL,8,461014,3,S,N,N,S,N,N,S,S,S,B,INEXISTENTE
202,BRONZE,S,S,N,,VD,RURAL,12,216478,4,N,S,N,S,N,N,N,N,N,D,ALTA
203,OURO,S,S,N,2,BO,CENTRO,13,823611,4,S,S,S,S,S,N,N,N,S,B,ALTA
204,PRATA,N,N,N,1,BO,BAIRRO,7,778106,3,S,S,N,S,N,N,S,S,N,B,MÉDIA
205,PRATA,S,N,N,3,BO,BAIRRO,5,359501,4,N,N,N,N,S,S,S,S,N,C,INEXISTENTE
206,PRATA,S,N,S,1,VD,RUA_FAMOSA,5,837433,4,N,S,N,S,S,N,S,S,N,C,BAIXA
207,OURO,S,S,N,,VD,RURAL,7,523740,3,S,S,N,S,N,N,N,N,S,A,INEXISTENTE
208,DIAMANTE,S,S,N,3,LJ,RUA_FAMOSA,12,955312,1,S,S,S,S,S,S,N,S,N,A,ALTA
209,DIAMANTE,S,S,S,2,VD,RUA_FAMOSA,30,827640,1,S,N,S,S,S,N,S,N,S,A,MÉDIA
210,BRONZE,S,S,N,2,VD,RUA_FAMOSA,23,214504,4,S,N,N,S,S,N,N,N,N,D,INEXISTENTE
211,PRATA,S,N,N,2,LJ,CENTRO,9,552406,3,N,S,N,S,N,S,N,N,N,D,INEXISTENTE
212,OURO,S,S,S,2,VD,BAIRRO,10,388286,2,S,S,N,S,S,S,N,N,S,A,ALTA
213,DIAMANTE,S,S,N,1,BO,RUA_FAMOSA,23,801867,1,S,N,S,N,S,N,N,N,N,B,MÉDIA
214,OURO,S,N,N,1,VD,BAIRRO,16,577904,2,N,S,N,S,N,S,N,N,N,A,BAIXA
215,BRONZE,N,N,N,2,BO,SHOPPING,22,174244,4,N,S,S,S,N,N,S,S,N,C,INEXISTENTE
216,DIAMANTE,S,S,S,2,BO,SHOPPING,29,637582,1,N,N,S,S,S,S,S,N,S,A,ALTA
217,BRONZE,S,N,N,3,BO,BAIRRO,19,154807,4,S,S,S,N,N,S,N,N,N,C,BAIXA
218,BRONZE,N,S,S,3,LJ,CENTRO,18,260915,4,N,S,N,N,N,S,S,S,N,A,MÉDIA
219,DIAMANTE,S,S,S,6,LJ,CENTRO,8,729231,1,N,S,S,N,S,N,N,N,N,A,ALTA
220,PRATA,S,S,S,1,VD,CENTRO,5,701322,3,S,S,N,S,S,N,S,S,N,C,ALTA
221,BRONZE,N,N,N,2,LJ,SHOPPING,21,291264,4,N,N,S,S,N,S,N,N,N,D,MÉDIA
222,BRONZE,N,N,S,1,VD,RURAL,14,245705,4,S,N,S,S,S,S,N,N,N,D,INEXISTENTE
223,DIAMANTE,S,S,S,3,BO,BAIRRO,21,985917,1,S,N,S,S,S,S,N,S,S,B,ALTA
224,PRATA,S,S,N,3,VD,BAIRRO,9,439619,4,S,N,N,N,S,S,N,S,N,C,INEXISTENTE
225,BRONZE,S,S,S,4,LJ,CENTRO,15,264353,4,N,S,N,N,S,S,S,S,N,B,BAIXA
226,BRONZE,N,S,N,2,LJ,RUA_FAMOSA,25,110506,4,N,N,N,N,N,N,S,N,N,B,INEXISTENTE
227,OURO,S,N,S,3,VD,RUA_FAMOSA,14,662883,4,S,N,N,S,N,N,N,S,S,A,MÉDIA
228,DIAMANTE,S,S,N,3,BO,RURAL,16,875881,1,N,S,S,N,S,N,S,S,N,A,ALTA
